,id_str,id,screen_name,domain,state
2569,137482443,137482443,Focus_OneSource,1,Iowa
2570,1120472246,1120472246,LyonCoIARepubs,1,Iowa
2571,472641678,472641678,BillGustoff,1,Iowa
2572,92695818,92695818,ClintonCoDems,1,Iowa
2573,107773300,107773300,BenLangeIA,1,Iowa
2574,19615120,19615120,bhcgop,1,Iowa
2575,556299627,556299627,JohnForbes4IA,1,Iowa
2576,3067974778,3067974778,VanHollenForMD,1,Maryland
2577,1491643430,1491643430,Iowa2DEC,1,Iowa
2578,807693582786265088,807693582786265088,AnkenyAreaDems,1,Iowa
2579,3016052727,3016052727,dcgopia,1,Iowa
2580,194729373,194729373,KingforCongress,1,Iowa
2581,2203956420,2203956420,CharlieMcConkey,1,Iowa
2582,739160198,739160198,RepRuthAGaines,1,Iowa
2583,714879352404455426,714879352404455426,DoctorPeters,1,Iowa
2584,1074322939,1074322939,SenMarkChelgren,1,Iowa
2585,156646316,156646316,TEFIowa,1,Iowa
2586,15502392,15502392,AlBregar,1,Iowa
2587,2604046382,2604046382,DallasCoDem,1,Iowa
2588,57633570,57633570,Kevinkoester,1,Iowa
2589,18098526,18098526,iowadefense,1,Iowa
2590,297428020,297428020,Lopez4VA,1,Virginia
2591,1342782012,1342782012,ChipBaltimoreIA,1,Iowa
2592,35585386,35585386,Gregchristensen,1,Iowa
2593,1692509149,1692509149,LorasGOP,1,Iowa
2594,179487378,179487378,broadband4iowa,1,Iowa
2595,1515310358,1515310358,LofgrenforIowa,1,Iowa
2596,714672280115265536,714672280115265536,DbqRepLundgren,1,Iowa
2597,550478242,550478242,BremerIARepubs,1,Iowa
2598,19595851,19595851,jarretheil,1,Iowa
2599,462292679,462292679,BillDixIowa,1,Iowa
2600,550235181,550235181,Vilsack4Iowa,1,Iowa
2601,3810331940,3810331940,WaylonForSenate,1,Iowa
2602,2286794600,2286794600,IowansForShaw,1,Iowa
2603,2301536496,2301536496,SOLODemocrats,1,Iowa
2604,146516483,146516483,dcyounggop,1,Iowa
2605,730397976149925888,730397976149925888,DavidYoungIA,1,Iowa
2606,1094246649222873089,1094246649222873089,jtaylorcongress,1,Iowa
2607,441838989,441838989,LandonForHouse,1,Iowa
2608,252112833,252112833,standwithsam,1,Iowa
2609,2161952395,2161952395,AndersonIowa,1,Iowa
2610,538197466,538197466,Iowa4SteveKing,1,Iowa
2611,743911150694313984,743911150694313984,CYDILgbtq,1,Iowa
2612,950952511556538368,950952511556538368,sharicedavids,1,Kansas
2613,18632666,18632666,JerryMoran,1,Kansas
2614,1080516116395499522,1080516116395499522,RepDavids,1,Kansas
2615,53524514,53524514,Garrett_Love,1,Kansas
2616,364864453,364864453,LauraKellyKS,1,Kansas
2617,823410689817583616,823410689817583616,JamesThompsonKS,1,Kansas
2618,1040058893907513344,1040058893907513344,GovLauraKelly,1,Kansas
2619,881998724720996353,881998724720996353,BrentWelder,1,Kansas
2620,62932775,62932775,KansasGOP,1,Kansas
2621,1080307235350241280,1080307235350241280,Rep_Watkins,1,Kansas
2622,1018199904,1018199904,ALHouseDems,1,Alabama
2623,18941566,18941566,KansasChamber,1,Kansas
2624,83436796,83436796,SSCJoCoKs,1,Kansas
2625,403929334,403929334,UniteBlueKS,1,Kansas
2626,1240107944,1240107944,RogerMarshallMD,1,Kansas
2627,854715071116849157,854715071116849157,RepRonEstes,1,Kansas
2628,961379407,961379407,ModerateKS,1,Kansas
2629,586730005,586730005,PatRoberts,1,Kansas
2630,18531124,18531124,RepJimWard,1,Kansas
2631,166232593,166232593,KansasSOS,1,Kansas
2632,172790460,172790460,kssenatedems,1,Kansas
2633,18056015,18056015,TimHuelskamp,1,Kansas
2634,4341845314,4341845314,BrettParker4KS,1,Kansas
2635,479003227,479003227,SenatorHensley,1,Kansas
2636,2556859698,2556859698,Sebelius,1,Kansas
2637,585857710,585857710,MelissaRooker,1,Kansas
2638,81632188,81632188,BWhippleKS,1,Kansas
2639,22194540,22194540,senatorlynn,1,Kansas
2640,18632809,18632809,moranforkansas,1,Kansas
2641,129259273,129259273,Steve4Kansas,1,Kansas
2642,1407889201,1407889201,DanRGlickman,1,Kansas
2643,1083795319027089408,1083795319027089408,GovJanetMills,1,Maine
2644,126832107,126832107,JimDenning4KS,1,Kansas
2645,141749281,141749281,Brett4ks,1,Kansas
2646,114000905,114000905,TomHollandKS,1,Kansas
2647,89245479,89245479,Greg4KS,1,Kansas
2648,25391694,25391694,KansasCR,1,Kansas
2649,104823965,104823965,amanda4kansas,1,Kansas
2650,27877804,27877804,RepFinney,1,Kansas
2651,612104094,612104094,SenatorWagle,1,Kansas
2652,60611810,60611810,JeanSchodorf,1,Kansas
2653,236896415,236896415,KansasTreasurer,1,Kansas
2654,83935810,83935810,RepSydneyCarlin,1,Kansas
2655,383978282,383978282,KUYoungDems,1,Kansas
2656,1415219102,1415219102,JoCoDemsKS,1,Kansas
2657,1628004924,1628004924,JillDockingKS,1,Kansas
2658,16159092,16159092,joepatton,1,Kansas
2659,722555010588872705,722555010588872705,RonEstesKS,1,Kansas
2660,383532926,383532926,brownbackforgov,1,Kansas
2661,1948031940,1948031940,repblanton92,1,To Be Added
2662,20492360,20492360,mburgess,1,Kansas
2663,1589002224,1589002224,MargieforKS,1,Kansas
2664,116794706,116794706,jcrpks,1,Kansas
2665,347007344,347007344,KUCRs,1,Kansas
2666,86872874,86872874,JoCoYRs,1,Kansas
2667,1050797035,1050797035,SpeakerMerrick,1,Kansas
2668,624269186,624269186,perryforkansas,1,Kansas
2669,55293773,55293773,DennisMcKinney,1,Kansas
2670,34021624,34021624,amanda_adkins,1,Kansas
2671,17840044,17840044,SedgwickDems,1,Kansas
2672,3040340676,3040340676,AsmRodriguez52,1,Montana
2673,871853817679286272,871853817679286272,ShriForMI,1,Michigan
2674,811421036902305794,811421036902305794,JoCoYoungDems,1,Kansas
2675,1222968157,1222968157,KansasSenateGOP,1,Kansas
2676,806749828243828736,806749828243828736,KSGreenParty,1,Kansas
2677,815808437741305856,815808437741305856,jcdwks,1,Kansas
2678,41423035,41423035,lwvldc,1,Kansas
2679,409432824,409432824,KanVote,1,Kansas
2680,452171348,452171348,Angela4KS,1,Kansas
2681,1473094158,1473094158,SpeakerDoug,1,Kansas
2682,2301760321,2301760321,KultalaForKS,1,Kansas
2683,41187483,41187483,craigmcpherson,1,Kansas
2684,105317074,105317074,WYCODems,1,Kansas
2685,198911018,198911018,SenJeffLongbine,1,Kansas
2686,242122984,242122984,robbruchman,1,Kansas
2687,61028553,61028553,ArlenSiegfreid,1,Kansas
2688,311829071,311829071,KSRep82,1,Kansas
2689,351795813,351795813,RepJosephScapa,1,Kansas
2690,12449242,12449242,milack,1,Kansas
2691,114853332,114853332,edeilert,1,Kansas
2692,1082329240681492481,1082329240681492481,JakeLaTurner,1,Kansas
2693,22376344,22376344,SeelForKansas,1,Kansas
2694,905430633614323712,905430633614323712,AndersenKS2018,1,Kansas
2695,4819569657,4819569657,dupree4da,1,Kansas
2696,117446876,117446876,TerriLois,1,Kansas
2697,112636805,112636805,JO4JOCO,1,Kansas
2698,322738185,322738185,MarkGilstrap,1,Kansas
2699,63845054,63845054,Lightner3rdDist,1,Kansas
2700,2269475012,2269475012,SupportSherow,1,Kansas
2701,1013798316730175489,1013798316730175489,KansasEthics,1,Kansas
2702,78370416,78370416,KipBateman,1,New Jersey
2703,782008873930543104,782008873930543104,SNCO_Dems,1,Kansas
2704,21041169,21041169,OCGOP,1,California
2705,136678569,136678569,TerryCalloway,1,Kansas
2706,128029701,128029701,StepheneMooreKS,1,Kansas
2707,2381051354,2381051354,CKCO_Democrats,1,Kansas
2708,276801793,276801793,KansasTR,1,Kansas
2709,1002288132304359424,1002288132304359424,RealRonEstes,1,Kansas
2710,186586878,186586878,McKinneyforKS,1,Kansas
2711,978291948153921536,978291948153921536,SedgCoDemWomen,1,Kansas
2712,345491725,345491725,SedgwickCoYDs,1,Kansas
2713,74849498,74849498,Kelsey4congress,1,Kansas
2714,78768804,78768804,electwink2010,1,Kansas
2715,151071241,151071241,GarryRKlotz,1,Kansas
2716,33619726,33619726,KumarBarve,1,Maryland
2717,1021890282143535104,1021890282143535104,ForYoder,1,Kansas
2718,378826063,378826063,tellefsonforkan,1,Kansas
2719,216881337,216881337,RandPaul,1,Kentucky
2720,2783231383,2783231383,AmyMcGrathKY,1,Kentucky
2721,3141213592,3141213592,GovMattBevin,1,Kentucky
2722,339822881,339822881,McConnellPress,1,Kentucky
2723,244123121,244123121,louisvillemayor,1,Kentucky
2724,1404269089,1404269089,MattBevin,1,Kentucky
2725,2991360032,2991360032,AndyBeshearKY,1,Kentucky
2726,233368344,233368344,AlisonForKY,1,Kentucky
2727,384913290,384913290,RepJohnYarmuth,1,Kentucky
2728,365530059,365530059,Team_Mitch,1,Kentucky
2729,37656339,37656339,Steve__Beshear,1,Kentucky
