,domain,id,id_str,party,screen_name,state
7026,1.0,971454632122900480,971454632122900480,BJP,abhinavbjpup,Uttar Pradesh
7027,1.0,872424689284653056,872424689284653056,BJP,DIPAK17696,Uttar Pradesh
7028,1.0,948122403447508992,948122403447508992,BJP,Vivek57113275,Uttar Pradesh
7029,1.0,700753943056416768,700753943056416768,BJP,BJYM4PRAYAGRAJ,Uttar Pradesh
7030,1.0,3054321163,3054321163,BJP,praveen47470916,Uttar Pradesh
7031,1.0,903975036800741377,903975036800741376,BJP,Kamlesh59197820,Uttar Pradesh
7032,1.0,880083155453136897,880083155453136896,BJP,Nagendrbjp111,Uttar Pradesh
7033,1.0,994935668597026816,994935668597026816,BJP,AmitAgr84471384,Uttar Pradesh
7034,1.0,1023140776119873536,1023140776119873536,BJP,Rssaniketji,Uttar Pradesh
7035,1.0,2318538499,2318538499,BJP,iVishal_T,Uttar Pradesh
7036,1.0,2929295382,2929295382,INC,Rajendra_inc,Chhattisgarh
7037,1.0,255847640,255847640,BJP,ARYAN5496,Uttar Pradesh
7038,1.0,790711873964355585,790711873964355584,BJP,tomarNaipal,Uttar Pradesh
7039,1.0,71166343,71166343,BJP,Kushal_Kandhari,To Be Added
7040,1.0,3781642694,3781642694,BJP,ABVP_Chopda,Uttar Pradesh
7041,1.0,737943202108432384,737943202108432384,BJP,rambahadurchak,Uttar Pradesh
7042,1.0,855016307913367552,855016307913367552,BJP,ZaheerAbbasZai4,Uttar Pradesh
7043,1.0,798504186371420161,798504186371420160,BJP,Annu_BJP,Uttar Pradesh
7044,1.0,1055334086380728320,1055334086380728320,BJP,mancikati,Uttar Pradesh
7045,1.0,803630129641619456,803630129641619456,BJP,Arunparjapati4,Uttar Pradesh
7046,1.0,1053374808681984000,1053374808681984000,BJP,KamalKrishnaMa8,Uttar Pradesh
7047,1.0,2837554417,2837554417,INC,deepakmishra979,Chhattisgarh
7048,1.0,830762898616098817,830762898616098816,To Be Added,pujaSri50448158,Uttar Pradesh
7049,1.0,861459398438400000,861459398438400000,BJP,RPMAURY64003521,Uttar Pradesh
7050,1.0,1007863027280969728,1007863027280969728,BJP,radhikabaliyan9,To Be Added
7051,1.0,766237312544104448,766237312544104448,BJP,vivekag0000,Uttar Pradesh
7052,1.0,896422241386119168,896422241386119168,BJP,Nitin15501,Uttar Pradesh
7053,1.0,136913945,136913945,BJP,Deepmishra54,Uttar Pradesh
7054,1.0,860761589489840128,860761589489840128,BJP,MandalNarain,Uttar Pradesh
7055,1.0,2591487727,2591487727,BJP,santosh17499327,Uttar Pradesh
7056,1.0,2798276006,2798276006,BJP,atul1968_thawar,Uttar Pradesh
7057,1.0,925987313120882688,925987313120882688,BJP,BjpGajraj,Uttar Pradesh
7058,1.0,409077013,409077013,INC,ajaysahu8,Chhattisgarh
7059,1.0,905997475424550913,905997475424550912,BJP,ChSahabSingh,Uttar Pradesh
7060,1.0,898163269097205760,898163269097205760,BJP,Rohitja02741955,Uttar Pradesh
7061,1.0,722850598555529217,722850598555529216,BJP,GzvSgaWNgHVWKDk,Uttar Pradesh
7062,1.0,3323864484,3323864484,BJP,krishan0501,Uttar Pradesh
7063,1.0,720690842827153408,720690842827153408,BJP,sageera97291919,Uttar Pradesh
7064,1.0,987193316734152705,987193316734152704,BJP,ChamanChauhan09,Uttar Pradesh
7065,1.0,855628180274544640,855628180274544640,BJP,NUpadhyaybjp,Uttar Pradesh
7066,1.0,788691935338766336,788691935338766336,BJP,VikasNagarBJP,Uttar Pradesh
7067,1.0,999570856626962432,999570856626962432,BJP,ShaktiP43044826,Uttar Pradesh
7068,1.0,977076380226629632,977076380226629632,BJP,Schaurasiya22,Uttar Pradesh
7069,1.0,55993926,55993926,INC,shaileshINC,Chhattisgarh
7070,1.0,882438417262530560,882438417262530560,BJP,74rBsuPbsvUq4pw,Uttar Pradesh
7071,1.0,855564230333825024,855564230333825024,To Be Added,Kartikeydixit19,Uttar Pradesh
7072,1.0,909347139943251968,909347139943251968,BJP,rita_shastri,Uttar Pradesh
7073,1.0,838791511839907840,838791511839907840,BJP,Amitgupt008,Uttar Pradesh
7074,1.0,841557803793817600,841557803793817600,BJP,PradeepKumarU15,Uttar Pradesh
7075,1.0,4586419033,4586419033,BJP,ABVPNoida,Uttar Pradesh
7076,1.0,711054898771591168,711054898771591168,BJP,Abhishek9756,Uttar Pradesh
7077,1.0,785195922,785195922,BJP,shashankABVP,Uttar Pradesh
7078,1.0,709232887388905472,709232887388905472,BJP,DrGauravPathak,Uttar Pradesh
7079,1.0,1037546504557350913,1037546504557350912,BJP,BjpTejpal,Uttar Pradesh
7080,1.0,398749235,398749235,INC,AkashSharmaINC,Chhattisgarh
7081,1.0,4714103372,4714103372,BJP,Ashishp41356010,Uttar Pradesh
7082,1.0,3380353846,3380353846,BJP,moradabadbjp,Uttar Pradesh
7083,1.0,1042414381038919680,1042414381038919680,BJP,SanuVinash,Uttar Pradesh
7084,1.0,763793508377387008,763793508377387008,BJP,BJP4Alld,Uttar Pradesh
7085,1.0,3240149755,3240149755,BJP,abhishek75752,Uttar Pradesh
7086,1.0,894792541861683200,894792541861683200,BJP,Atul871993,Uttar Pradesh
7087,1.0,1090647339688185856,1090647339688185856,BJP,DiwakarSinghBj1,Uttar Pradesh
7088,1.0,989040118597148674,989040118597148672,BJP,RahulGu01355815,Uttar Pradesh
7089,1.0,2298032515,2298032515,BJP,subhashtbjp,Uttar Pradesh
7090,1.0,928295747577028608,928295747577028608,BJP,ShivSharanMish9,Uttar Pradesh
