,id,id_str,screen_name,confirmed_politician,state
5326,1085288101847670784,1085288101847670784,DemocratsNovi,1,Michigan
5327,113631411,113631411,TStallworthIII,1,Michigan
5328,90179701,90179701,MI9thGOP,1,Michigan
5329,60727989,60727989,virgilksmith,1,Michigan
5330,982781879853223936,982781879853223936,KathyWiejaczka,1,Michigan
5331,963975555501756416,963975555501756416,MIfighting9,1,Michigan
5332,1148612674231705600,1148612674231705600,JoelMCGA,1,Michigan
5333,933428046631235587,933428046631235584,BobCarrUSSenate,1,Michigan
5334,3167762083,3167762083,wdemchair,1,Michigan
5335,110223664,110223664,CountyDems,1,Michigan
5336,973300762909577217,973300762909577216,CahalanForJudge,1,Michigan
5337,480638229,480638229,CapAreaYPR,1,Michigan
5338,1854964519,1854964519,RunWithBrian,1,Michigan
5339,983520215299444736,983520215299444736,f_skonos,1,Michigan
5340,2775253087,2775253087,Mqt4JerryCannon,1,Michigan
5341,7334402,7334402,alfranken,1,Minnesota
5342,171968009,171968009,SenFranken,1,Minnesota
5343,14135426,14135426,keithellison,1,Minnesota
5344,26657119,26657119,MoveOn,1,National
5345,216481299,216481299,GovMarkDayton,1,Minnesota
5346,23134068,23134068,TimPawlenty,1,Minnesota
5347,1262814457,1262814457,RepTimWalz,1,Minnesota
5348,15900384,15900384,MinnesotaDFL,1,Minnesota
5349,1064603540956565504,1064603540956565504,GovTimWalz,1,Minnesota
5350,85726335,85726335,Tim_Walz,1,Minnesota
5351,45895089,45895089,EllisonCampaign,1,Minnesota
5352,15059667,15059667,peggyflanagan,1,Minnesota
5353,34512788,34512788,epmurphymn,1,Minnesota
5354,17513304,17513304,ErikPaulsen,1,Minnesota
5355,28760134,28760134,melvincarter3,1,Minnesota
5356,12145102,12145102,KarinHousley,1,Minnesota
5357,23795692,23795692,mngop,1,Minnesota
5358,301175614,301175614,MN4allfamilies,1,Minnesota
5359,1055685948,1055685948,USRepRickNolan,1,Minnesota
5360,156395674,156395674,SenateDFL,1,Minnesota
5361,230268979,230268979,LittleSenator,1,Minnesota
5362,15620255,15620255,paulthissen,1,Minnesota
5363,1064636307257860096,1064636307257860096,LtGovFlanagan,1,Minnesota
5364,159633273,159633273,melissahortman,1,Minnesota
5365,16186675,16186675,mnhousegop,1,Minnesota
5366,18685740,18685740,mnsrc,1,Minnesota
5367,336103002,336103002,Sendiane,1,Oregon
5368,67131988,67131988,SenatorDanHall,1,Minnesota
5369,19600217,19600217,MinnStateEdu,1,Minnesota
5370,16100125,16100125,kdaudt,1,Minnesota
5371,76350004,76350004,repjohnkline,1,Minnesota
5372,594863522,594863522,AFSCMEMN5,1,Minnesota
5373,945108140122693632,945108140122693632,HefnerValerie,1,Texas
5374,34145605,34145605,PatGarofalo,1,Minnesota
5375,965012570141839361,965012570141839360,RWPMinnesota,1,Minnesota
5376,30380250,30380250,jeffreyhayden,1,Minnesota
5377,116496709,116496709,_RyanWinkler,1,Minnesota
5378,36169202,36169202,MattSwenson,1,Minnesota
