,id,id_str,screen_name,confirmed_account_type,state,twitter_name,real_name,bioguide,office_holder,party,district,level,woman,birthday,last_updated
3750,4433285713,4433285713,francisrooney,1,Florida,Francis Rooney,,,,,,,,,2021-04-20
3751,36632865,36632865,loranneausley,1,Florida,Loranne Ausley,,,,,,,,,2021-04-20
3752,167095016,167095016,hillsboroughsoe,1,Florida,Craig Latimer 🗳️,,,,,,,,,2021-04-20
3753,63602081,63602081,manateegoparty,1,Florida,ManateeGOParty,,,,,,,,,2021-04-20
3754,1546525339,1546525339,dougbroxson,1,Florida,Doug Broxson,,,,,,,,,2021-04-20
3755,52470438,52470438,sandyadams4fl,1,Florida,Sandy Adams,,,,,,,,,2021-04-20
3756,2308976360,2308976360,fldfs,1,Florida,FL DFS,,,,,,,,,2021-04-20
3757,1226672790,1226672790,erikfresenfl,1,Florida,Erik Fresen,,,,,,,,,2021-04-20
3758,16537973,16537973,orangedemsfl,1,Florida,Orange Democrats,,,,,,,,,2021-04-20
3759,383374250,383374250,hillsdems,1,Florida,Hillsborough Dems,,,,,,,,,2021-04-20
3760,3246574847,3246574847,repjosephgeller,1,Florida,Joseph Geller,,,,,,,,,2021-04-20
3761,1641092479,1641092479,repbobbydubose,1,Florida,Rep. Bobby DuBose,,,,,,,,,2021-04-20
3762,1011586465703317504,1011586465703317504,terrierizzo,1,Florida,Terrie Rizzo,,,,,,,,,2021-04-20
3763,15560653,15560653,scsenategop,1,South Carolina,SC Senate GOP,,,,,,,,,2021-04-20
3764,488019620,488019620,jessehrlich,1,Florida,"Jessica Ehrlich, JD",,,,,,,,,2021-04-20
3765,1576033008,1576033008,ders850,1,Florida,Anders Croy,,,,,,,,,2021-04-20
3766,993544652706983937,993544652706983937,kristenforfl,1,Florida,Kristen Carlson,,,,,,,,,2021-04-20
3767,357684818,357684818,kristin_jacobs,1,Florida,Kristin Jacobs,,,,,,,,,2021-04-20
3768,738442216750866432,738442216750866432,kamiabrownfl45,1,Florida,Kamia Brown,,,,,,,,,2021-04-20
3769,209791562,209791562,semdems,1,Florida,Seminole County Democratic Party,,,,,,,,,2021-04-20
3770,1202552712,1202552712,andrewformpls,1,Minnesota,Andrew Johnson,,,,,,,,,2021-04-20
3771,1206101378,1206101378,repcharliestone,1,Florida,Charlie Stone,,,,,,,,,2021-04-20
3772,124307098,124307098,fsudems,1,Florida,FSU College Democrats,,,,,,,,,2021-04-20
3773,117150125,117150125,southerlandfl02,1,Florida,Steve Southerland,,,,,,,,,2021-04-20
3774,2788953284,2788953284,lwvbcfl,1,Florida,Broward League,,,,,,,,,2021-04-20
